Dataset,Our Accuracy,Precision,Recall,F1,Sklearn
AND,1.0,0.9999999989999999,0.9999999989999999,0.9999999984999999,
OR,1.0,0.9999999996666666,0.9999999996666666,0.9999999991666666,
NAND,1.0,0.9999999996666666,0.9999999996666666,0.9999999991666666,
XOR,0.5,0.0,0.0,0.0,
Iris,1.0,0.9999999999,0.9999999999,0.9999999994,1.0
Breast Cancer,0.9736842105263158,0.9859154929438603,0.9722222222087191,0.9790209785073108,0.956140350877193
Wine,0.8846153846153846,0.9230769230059171,0.8571428570816326,0.888888888323731,0.9615384615384616
Digits,1.0,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9861111111111112
